,class_,Address_1,Address_2,use_p,research_date,research,phone_num,C_ad1,C_ad,temp_data,weather_data,rain_data,oz_data
34,정선군 송계8리,37.49815394,128.8495815,100,2017-12-06,적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
35,정선군 버들고개,37.5135842,128.8465102,100,2017-11-10,적합,033-560-2529,정선군청,강원도 정선군,11,"흐림, 어제보다 2˚ 높아요",0,0.018ppm
36,토미골,38.2467431,127.4771058431,30,2018-07-26,부적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
37,유곡리,38.181926,127.232325,20,2018-07-26,부적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
38,금학산,38.121089,127.123543,100,2018-07-26,적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
39,사문안골,38.122818,127.122702,100,2018-07-26,적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
40,일광사,38.2358476,127.4434031714,10,2018-07-26,부적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
41,천황지,38.2238728058,127.2074772656,20,2018-07-26,부적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
42,향교,38.2179287324,127.209036802,20,2018-07-26,부적합,033-450-5521,강원도 철원군,강원도 철원군,8,"맑음, 어제보다 0˚ 높아요",30,0.029ppm
43,생수가든샘터,37.8687445,127.7039311604,150,2019-07-02,적합,033-250-4949,춘천시,강원도 춘천시,10,"구름많음, 어제보다 1˚ 낮아요",20,0.003ppm
44,용왕샘터,37.9501770448,127.7200256799,250,2019-07-02,적합,033-250-4949,춘천시,강원도 춘천시,10,"구름많음, 어제보다 1˚ 낮아요",20,0.003ppm
45,용정,37.12807427,128.9676473,300,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
46,메밀뜰,37.094121,129.022891,5,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
47,문화동골,37.0939905,129.0190205,20,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
48,계량촌,37.10771645,128.9928423,10,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
49,건널목,37.11972209,129.0463145,40,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
50,초당,37.16184622,129.0403798,5,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
51,너덜,37.200099,128.918164,15,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
52,마을,37.180998,128.988878,20,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
53,한마음2,37.16991171,128.9950706,100,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
54,연화산,37.16991171,128.9950706,30,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
55,절골,37.1708454,128.9617838,25,2020-06-18,적합,033-550-2733,상수도사업소,강원도 태백시,12,"흐림, 어제보다 5˚ 높아요",20,-ppm
56,상원사샘터,37.787011,128.55658,50,2019-01-24,적합,033-330-2444,평창군,강원도 평창군,10,"흐림, 어제보다 2˚ 높아요",0,0.003ppm
57,서곡리샘터,37.824603,128.121903,100,2018-08-10,적합,033-430-4272,홍천군 상수도사업소,강원도 홍천군,11,"구름많음, 어제보다 0˚ 높아요",20,0.003ppm
58,노천리샘터,37.666285,128.057849,50,2018-08-10,부적합,033-430-4272,홍천군 상수도사업소,강원도 홍천군,11,"구름많음, 어제보다 0˚ 높아요",20,0.003ppm
59,닭바위샘터,37.412518,127.543071,10,2018-08-10,부적합,033-430-4272,홍천군 상수도사업소,강원도 홍천군,11,"구름많음, 어제보다 0˚ 높아요",20,0.003ppm
60,석화산 샘터,37.415628,127.531552,50,2018-08-10,부적합,033-430-4272,홍천군 상수도사업소,강원도 홍천군,11,"구름많음, 어제보다 0˚ 높아요",20,0.003ppm
61,잿골샘터,37.415951,127.523566,50,2018-08-10,부적합,033-430-4272,홍천군 상수도사업소,강원도 홍천군,11,"구름많음, 어제보다 0˚ 높아요",20,0.003ppm
62,망태골샘터,38.045547,127.795885,50,2016-08-17,부적합,033-440-2332,화천군 환경수도사업소,강원도 화천군,8,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
63,화악샘터,38.004995,127.525639,100,2016-08-17,적합,033-440-2332,화천군 환경수도사업소,강원도 화천군,8,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
64,용담샘터,38.054784,127.562236,100,2016-08-17,적합,033-440-2332,화천군 환경수도사업소,강원도 화천군,8,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
65,밤골샘터,38.205118,127.668708,30,2016-08-17,적합,033-440-2332,화천군 환경수도사업소,강원도 화천군,8,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
66,동산샘터,38.109174,127.704336,30,2016-07-14,적합,033-440-2332,화천군 환경수도사업소,강원도 화천군,8,"구름많음, 어제보다 0˚ 높아요",20,0.015ppm
67,약사전약수터,37.4955217,127.794232,1,2018-07-25,적합,033-340-5826,상하수도사업소,강원도 횡성군,10,"구름많음, 어제보다 0˚ 높아요",0,0.002ppm
68,보납산Ⅰ,38.309371,127.451827,100,2019-07-25,적합,031-580-4425,가평군청,경기도 가평군,9,"구름많음, 어제보다 0˚ 높아요",30,0.013ppm
69,경춘도로,38.105659,127.065925,150,2019-07-25,적합,031-580-4425,가평군청,경기도 가평군,9,"구름많음, 어제보다 0˚ 높아요",30,0.013ppm
70,수덕산,37.901604,127.517511,100,2019-07-25,적합,031-580-4425,가평군청,경기도 가평군,9,"구름많음, 어제보다 0˚ 높아요",30,0.013ppm
71,명봉 약수터,37.7300662957,126.856569714,150,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
72,골안 약수터,37.68949242,126.8869799907,300,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
73,유곽골(화전) 약수터,37.5967375115,126.8835256091,200,2018-08-23,적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
74,대동사 약수터,37.6554896653,126.9701189171,50,2018-08-22,적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
75,국사봉 약수터,37.6492107459,126.8456416913,100,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
76,큰골 약수터,37.6680500664,126.9063323742,100,2018-08-23,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
77,천일 약수터,37.65960022,126.8798173,100,2018-08-23,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
78,대궐고개 약수터,37.6758159789,126.8326239,100,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
79,성불사 약수터,37.58933508,126.890644,100,2018-08-23,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
80,덕산 약수터,37.6043966975,126.9010963637,100,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
81,꽃마을 약수터,37.6319716458,126.8410394,150,2018-08-22,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
82,마두 약수터,37.6648965869,126.7768078051,100,2018-08-23,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
83,수연 약수터,37.6927914402,126.7945317822,200,2018-08-23,적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
84,능안골 약수터,37.6735292884,126.8192397133,300,2018-08-22,적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
85,중산마을 약수터,37.68860006,126.784819,500,2018-08-23,적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
86,범룡골 약수터,37.70024679,126.7719718,0,2018-08-23,부적합,031-8075-4550,고양시 상하도사업소,경기도 고양시,14,"구름많음, 어제보다 4˚ 높아요",30,0.002ppm
87,물애비,37.458237,126.994587,70,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
88,아랫배랭이,37.425831,127.002575,130,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
89,문원 약수터,37.427285,127.006065,90,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
90,5.6호(1),37.421169,127.003939,125,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
91,사기막골(2),37.415236,127.007803,90,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
92,매봉(1),37.420509,127.011922,180,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
93,사기막골(1),37.417333,127.008563,70,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
94,삼 포,37.443485,127.022137,50,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
95,무당바위,37.433371,126.9861927148,80,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
96,등산로(상),37.068127,127.069814,80,2019-05-02,적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
97,연주샘,37.4430703,126.9670876,50,2019-05-02,부적합,02-2150-3722,과천시 맑은물사업소,경기도 과천시,10,"맑음, 어제보다 1˚ 높아요",30,0.002ppm
98,안골,37.40644887,127.2468790853,100,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
99,남문,37.47633702,127.1831533,130,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
100,북문,37.4810604,127.1821006109,120,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
101,국청사,37.48409112,127.1773501454,50,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
102,숭열전입구,37.48138941,127.1799668864,50,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
103,칠사산,37.42304472,127.2696201,100,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
104,양벌,37.38155191,127.2569233,30,2019-02-12,적합,031-760-2609,경기도 광주시청,경기도 광주시,11,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
105,엄마,37.596573,127.121037,450,2018-04-24,적합,031-550-8587,경기도 구리시청,경기도 구리시,10,"구름많음, 어제보다 0˚ 높아요",30,0.004ppm
106,동락천,37.592162,127.114101,1040,2018-04-24,적합,031-550-8587,경기도 구리시청,경기도 구리시,10,"구름많음, 어제보다 0˚ 높아요",30,0.004ppm
107,형제,37.591802,127.122297,1450,2018-04-24,적합,031-550-8587,경기도 구리시청,경기도 구리시,10,"구름많음, 어제보다 0˚ 높아요",30,0.004ppm
108,동화천,37.577893,127.109211,680,2018-04-24,적합,031-550-8587,경기도 구리시청,경기도 구리시,10,"구름많음, 어제보다 0˚ 높아요",30,0.004ppm
109,강신,37.558615,127.105664,120,2018-04-24,적합,031-550-8587,경기도 구리시청,경기도 구리시,10,"구름많음, 어제보다 0˚ 높아요",30,0.004ppm
110,다산,37.3500241,126.9302941,50,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
111,오금,37.3528091,126.9352012,200,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
112,희망,37.3564221,126.9418311,200,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
113,장수,37.3500574868,126.9390938985,50,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
114,능안,37.3718228523,126.9327224685,50,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
115,피크닉장,37.3566231,126.9157431,200,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
116,산딸기,37.3566291,126.9143431,150,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
117,감투봉,37.3427061,126.9282899,20,2019-08-22,부적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
118,수리,37.3731271,126.9266911,200,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
119,광천,37.3613981,126.9177521,100,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
120,주공4단지,37.3479221,126.9294521,80,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
121,속달,37.3379388,126.9083673,20,2019-08-22,적합,031-390-3252,군포시수도과,경기도 군포시,15,"구름많음, 어제보다 3˚ 높아요",30,0.004ppm
122,초원약수터,37.6166832,126.7043048,250,2019-04-17,부적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
123,신곡약수터,37.6092841,126.7782485,100,2019-04-17,부적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
124,수안산약수터,37.6406443,126.5865494,90,2019-04-17,적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
125,사우약수터,37.6135777,126.7127094,250,2019-04-30,적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
126,구래약수터,37.6294253,126.6382017,120,2019-04-17,적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
127,천현약수터,37.6495733,126.6866586,130,2019-04-17,부적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
128,검바위약수터,37.7052527,126.5912583,250,2019-04-17,부적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
129,원산리약수터,37.7237941,126.6188739,210,2019-04-17,부적합,031-980-5683,김포시 상하수도사업소,경기도 김포시,13,"맑음, 어제보다 1˚ 높아요",30,0.012ppm
130,오복,37.4671836733,126.789386159,120,2020-02-10,적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
131,청심,37.4768750974,126.7875723564,100,2020-02-10,적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
132,송내,37.478273185,126.762873652,130,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
133,송학,37.4730728043,126.7685800299,100,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
134,성주산,37.4752112139,126.784276057,200,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
135,정명,37.4739309386,126.7742976041,130,2020-02-10,적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
136,도당제2,37.5115615701,126.7916011011,100,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
137,춘덕,37.4951186892,126.802050832,100,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
138,영정천,37.5160628247,126.8219363787,50,2020-02-10,부적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
139,한샘,37.5023452456,126.8024046792,100,2020-02-10,적합,032-625-3578,경기도 부천시청,경기도 부천시,14,"구름많음, 어제보다 1˚ 높아요",30,0.002ppm
140,무지개,37.336679,127.118989,50,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
141,대도사,37.372617,127.156059,100,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
142,중앙공원,37.3803076563,127.1211786695,120,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
143,매화,37.40653104,127.151957,80,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
144,한천,37.394652,127.141901,20,2019-02-12,부적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
145,단대,37.4547865481,127.1588221794,50,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
146,영장,37.454768,127.142314,100,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
147,약진로변,37.457656,127.146779,50,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
148,윗가마절,37.455279,127.141048,100,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
149,독정,37.454717,127.141663,150,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
150,사곡천,37.447434,127.174911,150,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
151,뫼우리,37.441972,127.182067,50,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
152,윗사기막,37.450551,127.179007,120,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
153,뒷골,37.417518,127.142122,70,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
154,산성,37.471253,127.176857,70,2019-02-12,적합,031-729-4094,경기도 성남시 맑은물관리사업소,경기도 성남시,12,"구름많음, 어제보다 1˚ 높아요",30,0.014ppm
